Date,Open,High,Low,Close,Adj Close,Volume
27-Jun-25,612.88,616.39,610.83,614.91,614.91,"85,980,500"
26-Jun-25,608.99,612.31,608.37,611.87,611.87,"78,548,400"
25-Jun-25,607.91,608.61,605.54,607.12,607.12,"62,114,800"
24-Jun-25,604.33,607.85,603.41,606.78,606.78,"67,735,300"
23-Jun-25,595.04,600.54,591.89,600.15,600.15,"87,426,000"
20-Jun-25,1.761 Dividend,,,,,
20-Jun-25,598.38,599.46,592.86,594.28,594.28,"94,051,400"
18-Jun-25,598.44,601.22,596.47,597.44,595.68,"76,605,000"
17-Jun-25,600.21,601.75,596.76,597.53,595.77,"82,209,400"
16-Jun-25,600.4,604.45,600.22,602.68,600.9,"79,984,100"
13-Jun-25,598.5,601.85,595.48,597,595.24,"89,506,000"
12-Jun-25,600.01,603.75,599.52,603.75,601.97,"64,129,000"
11-Jun-25,604.19,605.06,599.27,601.36,599.59,"73,658,200"
10-Jun-25,600.22,603.47,599.09,603.08,601.3,"66,247,000"
09-Jun-25,599.72,601.25,598.49,599.68,597.91,"53,016,400"
06-Jun-25,598.66,600.83,596.86,599.14,597.37,"66,588,700"
05-Jun-25,597.63,599,591.05,593.05,591.3,"92,278,700"
04-Jun-25,596.96,597.95,595.49,595.93,594.17,"57,314,200"
03-Jun-25,592.34,597.08,591.85,596.09,594.33,"63,606,200"
02-Jun-25,587.76,592.79,585.06,592.71,590.96,"61,630,500"
30-May-25,588.93,591.13,583.24,589.39,587.65,"90,601,200"
29-May-25,593.06,593.2,586.07,590.05,588.31,"69,973,300"
28-May-25,591.56,592.77,586.99,587.73,586,"68,445,500"
27-May-25,586.07,591.31,578.43,591.15,589.41,"72,588,500"
23-May-25,575.98,581.81,575.6,579.11,577.4,"76,029,000"
22-May-25,582.66,586.62,581.41,583.09,581.37,"70,860,400"
21-May-25,588.44,592.58,581.82,582.86,581.14,"95,197,700"
20-May-25,593.09,594.05,589.6,592.85,591.1,"60,614,500"
19-May-25,588.1,595.54,588.1,594.85,593.1,"68,168,500"
16-May-25,591.25,594.5,589.28,594.2,592.45,"76,052,100"
15-May-25,585.56,590.97,585.1,590.46,588.72,"71,268,100"
14-May-25,587.81,588.98,585.54,587.59,585.86,"66,283,500"
13-May-25,583.41,589.08,582.84,586.84,585.11,"67,947,200"
12-May-25,581.47,583,577.04,582.99,581.27,"78,993,600"
09-May-25,566.48,567.5,562.76,564.34,562.68,"37,603,400"
08-May-25,565.24,570.31,561.7,565.06,563.39,"65,130,800"
07-May-25,560.15,563.82,556.04,561.15,559.5,"55,588,000"
06-May-25,557.93,563.35,556.96,558.8,557.15,"48,264,700"
05-May-25,562.57,566.65,561.7,563.51,561.85,"38,659,200"
02-May-25,564.73,568.38,562.38,566.76,565.09,"60,717,300"
01-May-25,560.37,564.07,557.86,558.47,556.82,"63,186,100"
30-Apr-25,547.57,556.52,541.52,554.54,552.91,"93,101,500"
29-Apr-25,548.91,555.45,548.55,554.32,552.69,"47,775,100"
28-Apr-25,551.39,553.55,545.02,550.85,549.23,"47,613,800"
25-Apr-25,546.65,551.05,543.69,550.64,549.02,"61,119,600"
24-Apr-25,536.72,547.43,535.45,546.69,545.08,"64,150,400"
23-Apr-25,540.43,545.43,533.88,535.42,533.84,"90,590,700"
22-Apr-25,520.14,529.3,519.19,527.25,525.7,"75,948,100"
21-Apr-25,521.16,521.7,508.46,513.88,512.37,"69,368,100"
17-Apr-25,527.64,531.17,523.91,526.41,524.86,"79,741,000"
16-Apr-25,531.68,537.89,520.29,525.66,524.11,"83,484,800"
15-Apr-25,539.67,543.23,536.81,537.61,536.03,"56,892,900"
14-Apr-25,544.05,544.28,533.86,539.12,537.53,"68,034,000"
11-Apr-25,523.01,536.43,520.07,533.94,532.37,"97,866,300"
10-Apr-25,532.17,533.5,509.32,524.58,523.03,"162,331,200"
09-Apr-25,493.44,548.62,493.05,548.62,547,"241,867,300"
08-Apr-25,521.86,524.98,489.16,496.48,495.02,"165,816,600"
07-Apr-25,489.19,523.17,481.8,504.38,502.89,"256,611,400"
04-Apr-25,523.67,525.87,505.06,505.28,503.79,"217,965,100"
03-Apr-25,545.11,547.97,536.7,536.7,535.12,"125,986,000"
02-Apr-25,555.05,567.42,554.81,564.52,562.86,"76,014,500"
01-Apr-25,557.45,562.94,553.68,560.97,559.32,"54,609,600"
31-Mar-25,549.83,560.71,546.87,559.39,557.74,"95,328,200"
28-Mar-25,565.53,566.27,555.07,555.66,554.02,"71,662,700"
27-Mar-25,567.18,570.9,564.94,567.08,565.41,"42,164,200"
26-Mar-25,575.19,576.33,567.19,568.59,566.91,"51,848,300"
25-Mar-25,575.3,576.41,573.69,575.46,573.76,"38,355,700"
24-Mar-25,570.8,575.15,570.2,574.08,572.39,"58,766,800"
21-Mar-25,1.696 Dividend,,,,,
21-Mar-25,559.28,564.89,558.03,563.98,562.32,"83,763,000"
20-Mar-25,563.33,570.57,562.6,565.49,562.13,"62,958,200"
19-Mar-25,562.83,570.95,561.63,567.13,563.76,"66,556,000"
18-Mar-25,564.8,565.02,559.06,561.02,557.69,"66,041,400"
17-Mar-25,562.79,569.71,562.35,567.15,563.78,"49,008,700"
14-Mar-25,556.11,563.83,551.49,562.81,559.47,"62,660,300"
13-Mar-25,558.49,559.11,549.68,551.42,548.15,"74,079,400"
12-Mar-25,562.17,563.11,553.69,558.87,555.55,"69,588,200"
11-Mar-25,559.4,564.02,552.02,555.92,552.62,"88,102,100"
10-Mar-25,567.59,569.54,555.59,560.58,557.25,"99,326,600"
07-Mar-25,570.9,577.39,565.63,575.92,572.5,"81,158,800"
06-Mar-25,575.48,580.17,570.12,572.71,569.31,"80,094,900"
05-Mar-25,576.69,584.88,573.08,583.06,579.6,"71,230,500"
